"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         180,       -7.00671792,      -6.587689333,       -6.88772701,      -6.816933363,      -6.376433603,      -9.666043673
          0,           0,         181,      -7.011333564,      -6.591124522,      -6.892447062,      -6.822324855,       -6.38107741,      -9.668308933
          0,           0,         182,      -7.016021693,      -6.594528952,      -6.897141555,      -6.827649188,      -6.385763223,      -9.670546361
          0,           0,         183,      -7.020838917,      -6.597960338,      -6.901812801,      -6.832924759,      -6.390552281,      -9.672760047
          0,           0,         184,       -7.02578969,      -6.601423085,      -6.906443634,      -6.838165224,       -6.39546699,       -9.67495334
          0,           0,         185,      -7.031005976,       -6.60486467,      -6.911018204,       -6.84336518,      -6.400639974,      -9.677119753
          0,           0,         186,      -7.037098969,      -6.608271842,      -6.915527139,      -6.848551187,      -6.406654871,      -9.679267246
          0,           0,         187,      -7.043515728,      -6.611659458,       -6.91995872,      -6.853814822,      -6.413018382,      -9.681409231
          0,           0,         188,      -7.049969462,      -6.615030864,      -6.924303858,      -6.859123398,      -6.419474126,      -9.683545766
          0,           0,         189,      -7.055927171,      -6.618356266,      -6.928549639,      -6.864293477,      -6.425484279,      -9.685676088
          0,           0,         190,      -7.062382741,      -6.621652756,      -6.932674265,      -6.869346269,      -6.431940983,      -9.687799275
          0,           0,         191,      -7.068631207,      -6.624901988,      -6.936682462,      -6.874346961,      -6.438189499,      -9.689972619
          0,           0,         192,      -7.074629125,      -6.628099451,      -6.940578497,      -6.879241038,      -6.444205324,      -9.692091507
          0,           0,         193,      -7.082025427,      -6.631235194,      -6.944346346,      -6.884137745,      -6.451536304,      -9.694216435
          0,           0,         194,      -7.089426078,      -6.634319607,      -6.947991597,      -6.888917702,      -6.458923497,       -9.69636442
          0,           0,         195,      -7.097163204,      -6.637343196,      -6.951510832,       -6.89364072,      -6.466650416,      -9.698541424
          0,           0,         196,      -7.104735037,       -6.64032181,      -6.954911259,      -6.898274129,      -6.474223052,      -9.700751121
          0,           0,         197,      -7.111284824,      -6.643247764,      -6.958192413,      -6.902725097,      -6.480824977,      -9.703040023
          0,           0,         198,      -7.117248131,      -6.646089071,      -6.961359633,      -6.906991462,      -6.486827002,      -9.705347877
          0,           0,         199,      -7.123018662,      -6.648842383,       -6.96441832,      -6.911098746,      -6.492585929,      -9.707684455
          0,           0,         200,      -7.128876575,       -6.65152978,      -6.967380292,      -6.915110244,      -6.498394829,      -9.710056358
          0,           0,         201,      -7.134689933,      -6.654145767,      -6.970256627,      -6.918994803,      -6.504174053,      -9.712458379
          0,           0,         202,      -7.140571189,      -6.656693038,      -6.973054694,      -6.922759963,      -6.510038316,      -9.714883732
          0,           0,         203,      -7.146521606,      -6.659165145,      -6.975778505,      -6.926411143,      -6.515994369,      -9.717327471
          0,           0,         204,      -7.152499034,      -6.661560803,      -6.978429619,      -6.929949092,      -6.521999151,      -9.719786319
          0,           0,         205,       -7.15848021,      -6.663882996,      -6.981006181,      -6.933381537,      -6.528023492,      -9.722261891
          0,           0,         206,      -7.164432314,      -6.666142992,      -6.983514804,      -6.936744086,      -6.534036026,      -9.724759851
          0,           0,         207,      -7.170146549,      -6.668339649,      -6.985963362,      -6.939998287,       -6.53983757,      -9.727281298
          0,           0,         208,      -7.176452491,      -6.670493809,      -6.988368618,      -6.943158271,      -6.546218606,      -9.729827931
          0,           0,         209,      -7.182638164,      -6.672604368,      -6.990734987,      -6.946239498,      -6.552504963,      -9.732398009
          0,           0,         210,      -7.188613996,      -6.674677663,      -6.993064173,      -6.949229921,      -6.558584139,      -9.734985464
          0,           0,         211,      -7.194670662,      -6.676726571,      -6.995365211,      -6.952140452,       -6.56471811,      -9.737586045
          0,           0,         212,       -7.20085567,      -6.678762221,      -6.997653301,      -6.955026406,      -6.570957431,      -9.740201629
          0,           0,         213,      -7.207117793,      -6.680794673,      -6.999947963,      -6.957901632,      -6.577264196,      -9.742832709
          0,           0,         214,      -7.213113743,      -6.682855635,      -7.002271225,       -6.96073425,      -6.583320098,      -9.745483334
          0,           0,         215,      -7.218971253,      -6.684954683,      -7.004636723,      -6.963547253,      -6.589209162,      -9.748147671
          0,           0,         216,      -7.224841081,      -6.687103183,      -7.007062376,      -6.966375398,       -6.59507292,      -9.750825654
          0,           0,         217,      -7.230737602,      -6.689322455,      -7.009570117,      -6.969244905,      -6.600937619,      -9.753515938
          0,           0,         218,      -7.236584373,      -6.691616096,      -7.012171433,      -6.972182936,      -6.606741481,      -9.756209885
          0,           0,         219,      -7.242588182,      -6.693984512,      -7.014883027,      -6.975227758,      -6.612683904,      -9.758894817
          0,           0,         220,      -7.248485605,      -6.696435444,      -7.017718542,      -6.978396667,      -6.618535311,      -9.761560433
          0,           0,         221,      -7.254372984,      -6.698974927,      -7.020688589,       -6.98170361,      -6.624376445,      -9.764199142
          0,           0,         222,      -7.260256621,      -6.701595315,        -7.0237947,      -6.985141952,      -6.630205294,      -9.766805833
          0,           0,         223,        -7.2661319,       -6.70429667,      -7.027040334,      -6.988706575,      -6.636023181,      -9.769376191
          0,           0,         224,      -7.272136023,      -6.707079098,      -7.030426832,      -6.992444093,      -6.641963837,      -9.771907075
          0,           0,         225,      -7.278317071,       -6.70994461,      -7.033949634,      -6.996402938,      -6.648082171,      -9.774396299
          0,           0,         226,      -7.284077885,      -6.712880287,      -7.037609971,      -7.000488932,      -6.653824115,      -9.776844021
          0,           0,         227,       -7.28972101,      -6.715880625,      -7.041393234,      -7.004693079,      -6.659456109,      -9.779250601
          0,           0,         228,      -7.295306125,      -6.718936475,      -7.045288308,       -7.00900982,      -6.665016526,      -9.781611683
          0,           0,         229,      -7.300842427,      -6.722040797,      -7.049284279,      -7.013438503,      -6.670514821,      -9.783942963
          0,           0,         230,      -7.306286173,      -6.725187222,      -7.053368031,      -7.017969767,      -6.675916877,      -9.786241523
          0,           0,         231,       -7.31202444,      -6.728372898,      -7.057526658,       -7.02261079,      -6.681599963,      -9.788510294
