Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
128,0.688823,2.12658,1.24589,0.940057,0.062074,0,0.942104,0.18914,0.0567023,0,0.197457,0.59293,-0.908639,0.860787,1.36473,0.090116,0,1.3677
129,0.682693,2.10974,1.25522,0.937548,0.0529177,0,0.93904,0.20166,0.0574681,0,0.209689,0.585569,-0.92507,0.857733,1.37331,0.0775132,0,1.37549
130,0.676689,2.09325,1.26454,0.934976,0.0442574,0,0.936023,0.21447,0.058132,0,0.222209,0.578353,-0.941177,0.85468,1.38169,0.0654028,0,1.38324
131,0.670991,2.07756,1.27331,0.932309,0.0360626,0,0.933007,0.22757,0.0586946,0,0.235017,0.571555,-0.956351,0.851807,1.38945,0.0537453,0,1.39049
132,0.665894,2.06352,1.28131,0.929875,0.0283099,0,0.930305,0.24094,0.0591559,0,0.248096,0.565467,-0.969941,0.849184,1.39643,0.0425141,0,1.39708
133,0.661344,2.05096,1.28841,0.927558,0.0209652,0,0.927795,0.25457,0.0595166,0,0.261435,0.560065,-0.981997,0.846859,1.40253,0.0317009,0,1.40289
134,0.657283,2.03975,1.29485,0.925445,0.0140066,0,0.925551,0.26845,0.0597777,0,0.275025,0.555239,-0.992769,0.844749,1.40798,0.0213098,0,1.40815
135,0.653511,2.02932,1.30081,0.923376,0.00740275,0,0.923406,0.28255,0.0599401,0,0.288838,0.550777,-1.00273,0.842796,1.41295,0.0113277,0,1.41299
136,0.649907,2.01934,1.3065,0.921309,0.00113678,0,0.92131,0.29687,0.0600055,0,0.302874,0.546527,-1.01222,0.840931,1.4176,0.00174914,0,1.4176
137,0.646435,2.00973,1.31206,0.919276,-0.00480879,0,0.919289,0.3114,0.0599757,0,0.317123,0.542431,-1.02136,0.839111,1.42207,-0.00743893,0,1.42209
138,0.642991,2.00016,1.31746,0.917128,-0.0104506,0,0.917187,0.32611,0.0598525,0,0.331557,0.538403,-1.03035,0.837341,1.42635,-0.016253,0,1.42644
139,0.639623,1.99082,1.32288,0.915026,-0.0158037,0,0.915162,0.34099,0.0596385,0,0.346166,0.534448,-1.03918,0.835568,1.43057,-0.0247078,0,1.43078
140,0.636315,1.98163,1.3282,0.912898,-0.0208793,0,0.913137,0.35604,0.0593356,0,0.36095,0.530576,-1.04782,0.833826,1.43466,-0.0328129,0,1.43504
141,0.633263,1.97315,1.33313,0.910888,-0.0256962,0,0.91125,0.37123,0.0589468,0,0.375881,0.527007,-1.05579,0.832209,1.4384,-0.0405775,0,1.43898
142,0.630546,1.96558,1.33746,0.909005,-0.0302687,0,0.909509,0.38654,0.0584752,0,0.390938,0.523854,-1.06283,0.830794,1.44162,-0.0480039,0,1.44241
143,0.62808,1.95871,1.34143,0.907269,-0.0346099,0,0.907929,0.40197,0.0579232,0,0.406122,0.520989,-1.06922,0.829495,1.44451,-0.0551043,0,1.44556
144,0.625638,1.95189,1.34533,0.905505,-0.0387275,0,0.906332,0.4175,0.0572942,0,0.421413,0.518164,-1.07553,0.828217,1.44733,-0.0619008,0,1.44865
145,0.623152,1.94496,1.34936,0.903711,-0.0426307,0,0.904716,0.43311,0.0565914,0,0.436792,0.515282,-1.08196,0.826897,1.45023,-0.0684114,0,1.45184
146,0.620642,1.93793,1.35333,0.901824,-0.046328,0,0.903014,0.44878,0.0558186,0,0.452238,0.5124,-1.08839,0.825598,1.45305,-0.0746454,0,1.45497
147,0.618365,1.9316,1.35718,0.900194,-0.0498459,0,0.901573,0.46451,0.0549784,0,0.467752,0.509743,-1.09432,0.824339,1.45576,-0.0806092,0,1.45799
148,0.616229,1.92558,1.3604,0.898441,-0.0531778,0,0.900013,0.48027,0.0540749,0,0.483305,0.507334,-1.0997,0.823287,1.45797,-0.0862954,0,1.46052
149,0.614623,1.92114,1.36328,0.897283,-0.0563761,0,0.899052,0.49605,0.0531115,0,0.498885,0.505433,-1.10394,0.822346,1.45989,-0.0917247,0,1.46277
